epoch,accuracy,loss,val_accuracy,val_loss
0,0.784500002861023,0.5566484928131104,0.8899999856948853,0.2933712303638458
1,0.8675000071525574,0.3294639587402344,0.8949999809265137,0.2779487669467926
2,0.8924999833106995,0.2683682441711426,0.8974999785423279,0.26973897218704224
3,0.9085000157356262,0.23483294248580933,0.8725000023841858,0.35878825187683105
4,0.9125000238418579,0.20670203864574432,0.8987500071525574,0.2706952691078186
5,0.9300000071525574,0.17735080420970917,0.90625,0.2648777961730957
6,0.9394999742507935,0.16084204614162445,0.8812500238418579,0.3972489535808563
7,0.9415000081062317,0.1573745459318161,0.8924999833106995,0.37048596143722534
8,0.9480000138282776,0.13921566307544708,0.9049999713897705,0.3227502107620239
9,0.9539999961853027,0.12882377207279205,0.887499988079071,0.35614868998527527
